"Timestamp","Date (DD-MM-YYYY)","Training conducted today (topic)","# of participants","MTD trainings completed vs planned"
"2026/03/17 9:07:33 am GMT+5:30","17-03-2026","Fire fighting /emergency response","5","11 out of 12"
"2026/03/18 9:07:18 am GMT+5:30","17-3-2026","Management of medical gases ","3","12 out of 13"
