"Timestamp","Date (DD-MM-YYYY)","# of OT cases done (yesterday)","First case delay — time in minutes","First case delay — reason","# of Escalations by surgeon","# of times team left OT for consumables"
"2026/03/17 7:27:15 am GMT+5:30","17-3-2026","3 ","30","Waiting for surgeon","0","0"
"2026/03/18 6:39:01 am GMT+5:30","18-6-2026","1","0","Nil","0","0"
